area_type,availability,location,size,society,bath,balcony,price,total_squaremeter
Plot Area,20-Apr,Fatih,4+1,Bosphorus View,2,1,7300068,75.25143
Super built-up Area,22-Sep,Ataşehir,4+1,Park Bahçesi,3,1,15522501,220.18011
Built-up Area,29-Nov,Maltepe,4+1,Panorama Evleri,2,1,3927804,60.38695
Plot Area,28-Jan,Ataşehir,3+1,Kule Evleri,3,2,7510083,96.61912000000001
Super built-up Area,03-Dec,Beşiktaş,2+1,Denizpark Konakları,1,2,11321153,102.19330000000001
Plot Area,08-Apr,Ataşehir,1+1,Yakamoz Sitesi,2,1,4343445,73.39337
Super built-up Area,19-Mar,Fatih,2+1,Park Bahçesi,2,2,12979611,201.59951
Built-up Area,12-Dec,Bahçelievler,3+1,Bosphorus View,4,2,13232119,172.79958
Super built-up Area,05-Dec,Bahçelievler,2+1,Panorama Evleri,2,2,6366884,81.75464
Super built-up Area,28-May,Fatih,5+1,Mavi Apartman,3,2,17683134,168.15443
Built-up Area,21-Jun,Kadıköy,2+1,Kule Evleri,1,0,5116517,59.45792
Plot Area,12-Aug,Kadıköy,3+1,Park Bahçesi,1,2,6187046,57.59986
Built-up Area,08-Oct,Bahçelievler,1+1,Kule Evleri,2,2,6328653,89.18688
Built-up Area,10-Nov,Bahçelievler,3+1,Bosphorus View,1,1,9888850,143.07062
Super built-up Area,22-May,Şişli,5+1,Bosphorus View,4,2,11511967,165.36734
Plot Area,19-Mar,Şişli,2+1,Panorama Evleri,2,1,7352063,89.18688
Plot Area,26-Dec,Kadıköy,2+1,Denizpark Konakları,1,0,16115415,201.59951
Plot Area,29-Jan,Şişli,3+1,Panorama Evleri,2,1,17977842,182.08988
Super built-up Area,29-Oct,Beşiktaş,1+1,Kule Evleri,1,0,11366566,162.58025
Plot Area,26-Oct,Beşiktaş,1+1,Denizpark Konakları,2,1,7783629,79.89658
Built-up Area,23-Jan,Kadıköy,5+1,Bosphorus View,4,0,13208748,192.30921
Built-up Area,06-Oct,Beşiktaş,1+1,Panorama Evleri,1,1,12227188,176.5157
Super built-up Area,04-Jan,Kadıköy,3+1,Mavi Apartman,1,0,6305713,74.3224
Built-up Area,02-Jul,Kadıköy,2+1,Yakamoz Sitesi,3,1,18153219,220.18011
Built-up Area,26-Aug,Maltepe,5+1,Mavi Apartman,2,2,4703805,59.45792
Super built-up Area,22-Feb,Bahçelievler,2+1,Park Bahçesi,2,2,13926562,228.54138
Plot Area,30-Mar,Beşiktaş,3+1,Denizpark Konakları,4,2,11606182,114.27069
Built-up Area,20-Aug,Beşiktaş,5+1,Mavi Apartman,1,2,16396704,182.08988
Super built-up Area,28-Dec,Maltepe,1+1,Park Bahçesi,1,0,15640979,222.9672
Built-up Area,11-Dec,Kadıköy,5+1,Denizpark Konakları,1,2,9967842,153.28995
Super built-up Area,31-Oct,Maltepe,3+1,Bosphorus View,4,0,3943877,55.7418
Super built-up Area,07-May,Bahçelievler,2+1,Kule Evleri,3,2,7534844,138.42547
Plot Area,20-Jul,Kadıköy,4+1,Yakamoz Sitesi,2,0,7468384,97.54815
Plot Area,27-Mar,Maltepe,4+1,Park Bahçesi,1,0,7957388,127.27711000000001
Super built-up Area,10-Aug,Beşiktaş,2+1,Denizpark Konakları,3,2,20633374,191.38018
Plot Area,22-Jun,Fatih,1+1,Yakamoz Sitesi,1,2,8978477,109.62554
Plot Area,28-Apr,Kadıköy,2+1,Mavi Apartman,1,0,7306802,95.69009
Built-up Area,24-Sep,Ataşehir,5+1,Bosphorus View,3,0,5211280,65.96113
Built-up Area,28-Jul,Şişli,4+1,Denizpark Konakları,4,2,10592439,104.05136
Super built-up Area,18-Sep,Beşiktaş,5+1,Kule Evleri,3,0,9850165,91.97397000000001
Super built-up Area,07-Aug,Kadıköy,5+1,Mavi Apartman,2,0,9394980,163.50928
Super built-up Area,24-Jul,Kadıköy,5+1,Denizpark Konakları,2,2,17657640,215.53496
Plot Area,05-Jul,Kadıköy,3+1,Panorama Evleri,1,0,14279276,179.30279000000002
Super built-up Area,02-Nov,Fatih,1+1,Park Bahçesi,1,0,14872351,150.50286
Super built-up Area,20-Apr,Beşiktaş,2+1,Panorama Evleri,3,2,13808687,126.34808000000001
Built-up Area,07-Nov,Maltepe,5+1,Panorama Evleri,1,1,5157136,57.59986
Plot Area,20-Apr,Beşiktaş,5+1,Park Bahçesi,2,2,12109484,148.6448
Super built-up Area,12-Jul,Fatih,4+1,Denizpark Konakları,3,0,10148307,83.6127
Super built-up Area,19-Mar,Şişli,4+1,Denizpark Konakları,4,1,6046791,68.74822
Plot Area,14-Jan,Beşiktaş,1+1,Kule Evleri,2,2,10769277,170.01249
Super built-up Area,07-Aug,Maltepe,4+1,Park Bahçesi,3,0,10651197,122.63196
Built-up Area,28-Apr,Fatih,3+1,Kule Evleri,3,1,7853430,74.3224
Plot Area,11-Aug,Bahçelievler,4+1,Panorama Evleri,3,0,13199087,220.18011
Built-up Area,22-May,Fatih,2+1,Bosphorus View,1,2,15101149,143.99965
Plot Area,18-Dec,Şişli,1+1,Park Bahçesi,1,2,4505935,97.54815
Plot Area,24-Feb,Beşiktaş,5+1,Yakamoz Sitesi,4,1,10742047,124.49002
Plot Area,09-Feb,Ataşehir,4+1,Kule Evleri,4,1,6379925,113.34166
Plot Area,03-Dec,Şişli,2+1,Park Bahçesi,1,0,10774221,132.85129
Plot Area,26-Sep,Ataşehir,1+1,Yakamoz Sitesi,2,2,6396340,80.82561
Built-up Area,21-Jul,Maltepe,4+1,Mavi Apartman,4,2,5872014,84.54173
Built-up Area,09-Mar,Kadıköy,2+1,Kule Evleri,2,1,3681506,63.174040000000005
Built-up Area,12-May,Şişli,1+1,Denizpark Konakları,2,1,14112826,154.21898000000002
Plot Area,05-Jan,Bahçelievler,3+1,Bosphorus View,1,2,3929235,76.18046
Super built-up Area,07-May,Ataşehir,4+1,Kule Evleri,3,2,8407131,164.43831
Built-up Area,15-Jan,Maltepe,3+1,Park Bahçesi,1,0,13173042,188.59309000000002
Super built-up Area,01-Jan,Şişli,1+1,Panorama Evleri,1,2,10471167,143.99965
Plot Area,28-Apr,Kadıköy,3+1,Mavi Apartman,2,1,14561691,173.72861
Built-up Area,16-Jan,Şişli,4+1,Park Bahçesi,3,2,5485185,60.38695
Super built-up Area,04-Jan,Kadıköy,3+1,Bosphorus View,4,2,9507716,89.18688
Super built-up Area,12-Mar,Bahçelievler,5+1,Mavi Apartman,3,1,17024126,222.03817
Super built-up Area,06-Mar,Şişli,5+1,Panorama Evleri,3,1,16415182,215.53496
Super built-up Area,16-Jan,Kadıköy,1+1,Yakamoz Sitesi,1,1,6403184,95.69009
Built-up Area,22-Jun,Fatih,2+1,Yakamoz Sitesi,3,0,14859395,139.3545
Plot Area,04-Jul,Kadıköy,2+1,Denizpark Konakları,2,1,12466226,120.7739
Plot Area,01-May,Şişli,4+1,Mavi Apartman,1,0,15911407,194.16727
Plot Area,18-Aug,Bahçelievler,1+1,Mavi Apartman,2,2,15875204,221.10914
Plot Area,17-Aug,Bahçelievler,3+1,Bosphorus View,2,0,14876462,206.24466
Built-up Area,10-Sep,Beşiktaş,3+1,Kule Evleri,1,2,14545678,165.36734
Super built-up Area,18-Jul,Bahçelievler,4+1,Bosphorus View,4,0,9120029,114.27069
Super built-up Area,15-Nov,Fatih,3+1,Yakamoz Sitesi,4,1,15715855,202.52854
Built-up Area,29-Aug,Şişli,1+1,Mavi Apartman,1,0,13792001,225.75429
Built-up Area,10-May,Şişli,3+1,Kule Evleri,2,1,14330992,161.65122
Plot Area,13-Mar,Beşiktaş,3+1,Bosphorus View,2,2,16631695,196.02533
Plot Area,12-May,Beşiktaş,1+1,Denizpark Konakları,2,0,16585272,187.66406
Plot Area,22-Aug,Fatih,3+1,Park Bahçesi,4,2,8879083,89.18688
Super built-up Area,03-Apr,Bahçelievler,5+1,Bosphorus View,2,1,10751347,150.50286
Super built-up Area,09-Jul,Maltepe,2+1,Park Bahçesi,2,1,11116050,202.52854
Super built-up Area,12-Dec,Maltepe,3+1,Yakamoz Sitesi,2,1,11715544,192.30921
Built-up Area,12-Nov,Fatih,4+1,Kule Evleri,4,2,6775850,92.903
Plot Area,02-Feb,Ataşehir,1+1,Denizpark Konakları,2,0,8128361,119.84487
Super built-up Area,08-May,Kadıköy,3+1,Denizpark Konakları,4,2,10063389,108.69651
Plot Area,15-Mar,Beşiktaş,2+1,Mavi Apartman,1,0,6434593,64.10307
Built-up Area,22-May,Kadıköy,5+1,Denizpark Konakları,3,0,15051882,164.43831
Built-up Area,19-Feb,Fatih,2+1,Mavi Apartman,1,1,18796628,229.47041000000002
Super built-up Area,06-Dec,Fatih,4+1,Mavi Apartman,4,2,15052259,167.2254
Super built-up Area,18-Aug,Ataşehir,3+1,Kule Evleri,3,1,7537394,107.76748
Super built-up Area,29-Apr,Bahçelievler,4+1,Bosphorus View,1,2,11459364,200.67048
Built-up Area,26-Aug,Fatih,1+1,Park Bahçesi,1,1,18992410,185.806
Super built-up Area,10-Nov,Şişli,1+1,Denizpark Konakları,1,1,6658426,108.69651
Plot Area,03-Apr,Maltepe,5+1,Panorama Evleri,1,2,11761811,155.14801
Plot Area,14-Aug,Beşiktaş,2+1,Yakamoz Sitesi,2,2,9022264,99.40621
Plot Area,10-May,Kadıköy,5+1,Bosphorus View,4,2,9769288,132.85129
Built-up Area,16-Feb,Bahçelievler,2+1,Bosphorus View,1,0,10722843,136.56741
Plot Area,04-Dec,Şişli,4+1,Denizpark Konakları,1,1,5678617,66.89016000000001
Built-up Area,05-Jan,Fatih,5+1,Bosphorus View,1,0,18217160,189.52212
Super built-up Area,12-Jun,Şişli,5+1,Panorama Evleri,1,0,11868277,138.42547
Super built-up Area,21-Feb,Bahçelievler,2+1,Panorama Evleri,1,2,4692295,58.528890000000004
Built-up Area,31-Jul,Ataşehir,4+1,Bosphorus View,4,2,8730388,114.27069
Built-up Area,31-Oct,Ataşehir,1+1,Yakamoz Sitesi,1,2,6024986,68.74822
Plot Area,27-Sep,Beşiktaş,2+1,Panorama Evleri,3,0,18879888,223.89623
Plot Area,16-Feb,Ataşehir,5+1,Denizpark Konakları,1,1,20903598,222.9672
Plot Area,15-Jan,Ataşehir,5+1,Bosphorus View,4,2,6131640,123.56099
Built-up Area,15-Oct,Kadıköy,4+1,Bosphorus View,3,1,17821305,209.96078
Plot Area,20-Feb,Kadıköy,3+1,Denizpark Konakları,1,0,8671063,79.89658
Built-up Area,27-Jan,Bahçelievler,2+1,Bosphorus View,3,0,6919341,92.903
Plot Area,17-Jul,Şişli,4+1,Denizpark Konakları,2,2,7521456,118.91584
Plot Area,15-Mar,Kadıköy,2+1,Bosphorus View,1,2,10703689,115.19972
Built-up Area,12-Jun,Şişli,5+1,Kule Evleri,4,0,15417145,165.36734
Built-up Area,13-Jan,Fatih,3+1,Panorama Evleri,2,0,11767634,104.05136
Super built-up Area,28-Feb,Bahçelievler,5+1,Denizpark Konakları,1,1,6760980,72.46434
Built-up Area,24-Feb,Beşiktaş,1+1,Denizpark Konakları,2,2,7931016,69.67725
Built-up Area,17-Nov,Ataşehir,3+1,Kule Evleri,3,0,8152794,78.96755
Super built-up Area,16-Jan,Şişli,5+1,Denizpark Konakları,2,1,16160884,194.16727
Super built-up Area,21-Jun,Maltepe,1+1,Kule Evleri,2,2,5145760,101.26427
Built-up Area,19-Sep,Bahçelievler,1+1,Mavi Apartman,2,1,11798153,221.10914
Super built-up Area,08-Dec,Maltepe,5+1,Panorama Evleri,2,0,15094902,232.2575
Built-up Area,19-Jan,Bahçelievler,3+1,Bosphorus View,2,0,11182409,150.50286
Built-up Area,24-Aug,Kadıköy,1+1,Kule Evleri,1,0,7842888,91.04494
Super built-up Area,27-Apr,Kadıköy,2+1,Mavi Apartman,2,0,13186063,189.52212
Built-up Area,27-Jan,Kadıköy,5+1,Bosphorus View,1,1,5827999,69.67725
Super built-up Area,06-Jul,Beşiktaş,5+1,Yakamoz Sitesi,4,0,20751838,212.74787
Built-up Area,21-Jul,Beşiktaş,2+1,Mavi Apartman,2,0,14443943,159.79316
Super built-up Area,22-Apr,Kadıköy,1+1,Yakamoz Sitesi,1,0,6801767,110.55457
Super built-up Area,29-Jul,Şişli,4+1,Kule Evleri,3,1,8372199,89.18688
Plot Area,29-Apr,Şişli,5+1,Mavi Apartman,2,0,8699427,111.4836
Built-up Area,19-Jun,Maltepe,5+1,Park Bahçesi,3,2,15346532,183.01891
Built-up Area,17-Oct,Fatih,3+1,Bosphorus View,3,2,16034930,179.30279000000002
Built-up Area,12-Jun,Fatih,3+1,Park Bahçesi,1,2,5667564,70.60628
Built-up Area,28-Mar,Fatih,3+1,Panorama Evleri,1,1,13410216,200.67048
Super built-up Area,15-Apr,Maltepe,1+1,Denizpark Konakları,2,0,4751415,76.18046
Plot Area,19-May,Bahçelievler,5+1,Mavi Apartman,2,1,6156229,116.12875
Built-up Area,15-Dec,Ataşehir,1+1,Yakamoz Sitesi,1,0,13528948,191.38018
Built-up Area,28-Jun,Beşiktaş,3+1,Park Bahçesi,3,0,13902490,152.36092
Plot Area,16-Jun,Fatih,3+1,Mavi Apartman,3,1,16834011,148.6448
Plot Area,16-Jun,Fatih,2+1,Denizpark Konakları,1,1,18360368,192.30921
Super built-up Area,09-Jun,Fatih,5+1,Mavi Apartman,2,1,20932180,223.89623
Plot Area,24-May,Şişli,5+1,Panorama Evleri,2,0,13402961,197.88339
Plot Area,08-Jan,Şişli,3+1,Denizpark Konakları,4,2,13954853,135.63838
Built-up Area,29-Oct,Maltepe,3+1,Mavi Apartman,4,2,17344984,232.2575
Plot Area,09-Jan,Fatih,1+1,Denizpark Konakları,2,0,14531830,219.25108
Super built-up Area,17-Mar,Fatih,4+1,Denizpark Konakları,2,2,13936576,177.44473
Built-up Area,29-Aug,Kadıköy,3+1,Kule Evleri,3,2,7644441,71.53531
Built-up Area,04-Jul,Fatih,4+1,Mavi Apartman,2,1,5714245,65.0321
Super built-up Area,13-Sep,Ataşehir,2+1,Bosphorus View,3,2,6745925,93.83203
Plot Area,06-Jan,Beşiktaş,5+1,Kule Evleri,1,1,9385684,115.19972
Plot Area,16-Oct,Maltepe,2+1,Denizpark Konakları,1,0,13444367,226.68332
Built-up Area,16-Aug,Ataşehir,3+1,Mavi Apartman,2,2,9225144,112.41263000000001
Built-up Area,21-Dec,Ataşehir,4+1,Yakamoz Sitesi,1,1,7533948,104.05136
Plot Area,27-Aug,Fatih,2+1,Denizpark Konakları,2,1,14620298,207.17369
Plot Area,31-Mar,Bahçelievler,1+1,Denizpark Konakları,2,2,14797116,227.61235
Built-up Area,28-Aug,Şişli,4+1,Denizpark Konakları,4,2,14877762,219.25108
Super built-up Area,22-Aug,Beşiktaş,1+1,Panorama Evleri,1,2,11382578,120.7739
Plot Area,20-May,Ataşehir,1+1,Mavi Apartman,2,2,9163991,142.14159
Plot Area,11-Aug,Fatih,3+1,Bosphorus View,1,0,23612741,222.9672
Plot Area,17-Jun,Bahçelievler,1+1,Panorama Evleri,1,0,13858184,212.74787
Built-up Area,29-May,Fatih,2+1,Denizpark Konakları,2,0,12616913,138.42547
Built-up Area,06-Mar,Bahçelievler,2+1,Mavi Apartman,1,2,11016778,142.14159
Super built-up Area,27-Feb,Kadıköy,3+1,Denizpark Konakları,3,1,12535911,143.07062
Super built-up Area,02-Jan,Bahçelievler,2+1,Denizpark Konakları,2,0,7454676,100.33524
Super built-up Area,09-Sep,Ataşehir,4+1,Denizpark Konakları,4,2,5974674,60.38695
Super built-up Area,24-Feb,Kadıköy,4+1,Yakamoz Sitesi,3,2,8714481,117.05778000000001
Super built-up Area,07-May,Fatih,5+1,Park Bahçesi,1,2,22049015,185.806
Plot Area,25-Jun,Bahçelievler,5+1,Park Bahçesi,2,1,8667586,153.28995
Super built-up Area,05-Apr,Şişli,5+1,Park Bahçesi,1,2,12241206,151.43189
Super built-up Area,30-Jan,Ataşehir,2+1,Park Bahçesi,3,2,8046363,96.61912000000001
Super built-up Area,22-Apr,Fatih,2+1,Bosphorus View,2,2,12197336,144.92868
Built-up Area,18-Oct,Fatih,1+1,Denizpark Konakları,2,1,13913158,223.89623
Plot Area,20-Oct,Bahçelievler,5+1,Panorama Evleri,4,2,10480045,132.85129
Super built-up Area,09-Aug,Kadıköy,2+1,Park Bahçesi,2,2,6812591,80.82561
Plot Area,02-Jul,Bahçelievler,5+1,Kule Evleri,2,1,5800642,75.25143
Built-up Area,05-Jul,Şişli,2+1,Panorama Evleri,2,1,12957557,217.39302
Built-up Area,18-Aug,Ataşehir,1+1,Denizpark Konakları,2,0,14657849,221.10914
Built-up Area,31-Aug,Fatih,5+1,Park Bahçesi,3,2,9249588,104.98039
Super built-up Area,24-Feb,Bahçelievler,4+1,Kule Evleri,1,0,9140968,142.14159
Super built-up Area,16-Apr,Maltepe,5+1,Yakamoz Sitesi,3,2,12155520,158.86413000000002
Plot Area,08-Mar,Bahçelievler,5+1,Mavi Apartman,2,0,10688115,143.99965
Built-up Area,06-Feb,Maltepe,3+1,Denizpark Konakları,2,0,13760088,180.23182
Built-up Area,05-Sep,Kadıköy,2+1,Kule Evleri,1,1,8427733,117.05778000000001
Super built-up Area,01-Apr,Maltepe,1+1,Mavi Apartman,1,1,10005691,112.41263000000001
Super built-up Area,18-Apr,Kadıköy,5+1,Panorama Evleri,2,2,19551684,219.25108
Plot Area,30-Nov,Bahçelievler,3+1,Denizpark Konakları,4,0,8609070,81.75464
Super built-up Area,31-May,Maltepe,5+1,Mavi Apartman,3,0,11514674,167.2254
Super built-up Area,19-Aug,Bahçelievler,5+1,Yakamoz Sitesi,4,0,5545968,102.19330000000001
Built-up Area,23-Dec,Ataşehir,4+1,Denizpark Konakları,4,0,13552582,143.07062
Plot Area,09-Apr,Bahçelievler,1+1,Park Bahçesi,1,1,3706100,57.59986
Super built-up Area,06-Aug,Ataşehir,2+1,Yakamoz Sitesi,1,2,8480039,104.98039
Built-up Area,21-Jun,Kadıköy,2+1,Mavi Apartman,1,0,6897593,118.91584
Built-up Area,03-May,Kadıköy,5+1,Park Bahçesi,2,0,18522077,191.38018
Plot Area,21-Mar,Bahçelievler,5+1,Denizpark Konakları,2,1,7212315,89.18688
Super built-up Area,21-Apr,Bahçelievler,3+1,Denizpark Konakları,4,1,17804480,224.82526000000001
Built-up Area,27-Jun,Bahçelievler,4+1,Panorama Evleri,2,2,6755815,78.03852
Super built-up Area,31-May,Ataşehir,5+1,Denizpark Konakları,2,2,11742804,192.30921
Super built-up Area,11-Dec,Bahçelievler,5+1,Panorama Evleri,4,0,10844591,120.7739
Built-up Area,06-Dec,Fatih,3+1,Kule Evleri,1,1,16230966,182.08988
Super built-up Area,07-Aug,Fatih,3+1,Park Bahçesi,3,1,19918080,222.9672
Plot Area,14-Nov,Kadıköy,1+1,Yakamoz Sitesi,1,1,8112905,159.79316
Super built-up Area,21-Feb,Maltepe,5+1,Yakamoz Sitesi,2,2,12974459,227.61235
Built-up Area,01-Apr,Beşiktaş,5+1,Panorama Evleri,4,0,16002886,143.07062
Built-up Area,02-Sep,Şişli,3+1,Panorama Evleri,1,2,5808284,64.10307
Built-up Area,18-May,Maltepe,1+1,Kule Evleri,2,2,11288518,147.71577
Plot Area,14-Sep,Beşiktaş,5+1,Denizpark Konakları,2,0,18274160,227.61235
Built-up Area,22-Apr,Fatih,4+1,Yakamoz Sitesi,2,0,19213565,232.2575
Plot Area,24-Aug,Kadıköy,1+1,Panorama Evleri,1,2,8948478,137.49644
Built-up Area,27-Sep,Ataşehir,5+1,Kule Evleri,4,2,14080761,153.28995
Plot Area,24-Apr,Beşiktaş,2+1,Kule Evleri,3,2,19144434,218.32205000000002
Plot Area,05-Aug,Kadıköy,5+1,Denizpark Konakları,4,2,7201192,75.25143
Built-up Area,08-Aug,Fatih,5+1,Yakamoz Sitesi,4,2,9488091,92.903
Built-up Area,30-Oct,Bahçelievler,5+1,Mavi Apartman,1,2,5254600,76.18046
Super built-up Area,27-Jan,Bahçelievler,5+1,Panorama Evleri,4,2,6445002,63.174040000000005
Built-up Area,03-Oct,Ataşehir,5+1,Denizpark Konakları,1,0,16191837,190.45115
Built-up Area,19-May,Fatih,5+1,Bosphorus View,3,0,13708005,142.14159
Plot Area,13-Nov,Fatih,2+1,Denizpark Konakları,3,0,10729982,113.34166
Super built-up Area,05-Dec,Şişli,5+1,Yakamoz Sitesi,2,2,17358529,167.2254
Super built-up Area,14-Nov,Beşiktaş,5+1,Mavi Apartman,2,2,12296755,137.49644
Super built-up Area,29-Nov,Fatih,3+1,Bosphorus View,4,1,6756600,84.54173
Built-up Area,09-May,Maltepe,3+1,Yakamoz Sitesi,4,1,9507182,150.50286
Built-up Area,03-Jul,Şişli,4+1,Kule Evleri,1,1,17715435,185.806
Built-up Area,21-Oct,Beşiktaş,2+1,Bosphorus View,2,0,17489770,226.68332
Built-up Area,08-Mar,Şişli,5+1,Denizpark Konakları,4,2,13482583,138.42547
Plot Area,28-Jul,Şişli,5+1,Park Bahçesi,2,2,7315393,60.38695
Plot Area,23-May,Bahçelievler,2+1,Denizpark Konakları,2,0,7849734,112.41263000000001
Super built-up Area,06-Jul,Kadıköy,3+1,Mavi Apartman,1,1,16913412,222.03817
Super built-up Area,23-Dec,Maltepe,1+1,Kule Evleri,1,2,14219709,215.53496
Plot Area,23-Apr,Kadıköy,2+1,Kule Evleri,1,0,6458395,66.89016000000001
Built-up Area,30-Jul,Kadıköy,4+1,Panorama Evleri,3,1,13812499,185.806
Super built-up Area,03-Nov,Ataşehir,2+1,Kule Evleri,3,1,12225135,178.37376
Super built-up Area,14-Sep,Fatih,5+1,Yakamoz Sitesi,2,0,10830292,133.78032000000002
Super built-up Area,01-May,Maltepe,4+1,Yakamoz Sitesi,2,1,6786345,90.11591
Plot Area,10-Apr,Kadıköy,2+1,Park Bahçesi,1,1,16160012,184.87697
Plot Area,28-Jun,Fatih,3+1,Panorama Evleri,1,2,10930431,111.4836
Super built-up Area,28-Jul,Maltepe,4+1,Kule Evleri,2,1,7365223,97.54815
Plot Area,24-Feb,Şişli,3+1,Kule Evleri,3,0,10075552,96.61912000000001
Plot Area,24-Oct,Kadıköy,3+1,Bosphorus View,2,2,6641308,89.18688
Built-up Area,23-Oct,Beşiktaş,2+1,Yakamoz Sitesi,1,0,5873365,74.3224
Built-up Area,07-Nov,Ataşehir,4+1,Denizpark Konakları,3,1,19621504,223.89623
Plot Area,05-Oct,Fatih,1+1,Panorama Evleri,1,0,7015680,110.55457
Built-up Area,11-May,Kadıköy,2+1,Bosphorus View,2,2,16658363,195.0963
Super built-up Area,21-Mar,Şişli,2+1,Mavi Apartman,2,1,11395236,183.01891
Plot Area,26-Jul,Fatih,1+1,Denizpark Konakları,1,2,8992827,96.61912000000001
Super built-up Area,09-Dec,Maltepe,4+1,Panorama Evleri,3,0,14733414,226.68332
Super built-up Area,08-May,Kadıköy,5+1,Yakamoz Sitesi,2,2,5117099,55.7418
Plot Area,20-Jan,Ataşehir,5+1,Yakamoz Sitesi,1,1,11450488,150.50286
Super built-up Area,10-Apr,Ataşehir,1+1,Bosphorus View,1,2,8501029,160.72219
Built-up Area,20-Mar,Ataşehir,3+1,Bosphorus View,1,2,7487953,110.55457
Super built-up Area,14-Sep,Maltepe,1+1,Yakamoz Sitesi,1,2,13603630,175.58667
Super built-up Area,12-Jul,Ataşehir,1+1,Mavi Apartman,2,0,18404020,187.66406
Built-up Area,29-Sep,Maltepe,2+1,Bosphorus View,3,0,6866911,125.41905
Plot Area,12-Apr,Şişli,1+1,Park Bahçesi,2,1,16486832,214.60593
Super built-up Area,27-Feb,Fatih,4+1,Panorama Evleri,4,2,16192986,230.39944
Plot Area,04-Sep,Maltepe,5+1,Bosphorus View,1,0,11896032,150.50286
Plot Area,20-Nov,Bahçelievler,4+1,Bosphorus View,3,2,10314692,156.07704
Built-up Area,24-Oct,Kadıköy,1+1,Kule Evleri,1,1,12464794,202.52854
Built-up Area,22-Apr,Bahçelievler,3+1,Denizpark Konakları,4,1,9127757,146.78674
Plot Area,10-Dec,Ataşehir,4+1,Yakamoz Sitesi,2,0,7804587,97.54815
Super built-up Area,01-Mar,Şişli,3+1,Bosphorus View,4,0,14401187,155.14801
Plot Area,07-Apr,Beşiktaş,3+1,Panorama Evleri,1,2,21807508,199.74145000000001
Built-up Area,23-Apr,Şişli,1+1,Mavi Apartman,1,0,18374682,205.31563
Built-up Area,16-May,Bahçelievler,2+1,Yakamoz Sitesi,2,1,7060887,97.54815
Plot Area,25-May,Şişli,1+1,Mavi Apartman,1,2,14501515,187.66406
Built-up Area,09-Aug,Kadıköy,4+1,Bosphorus View,3,2,9429538,113.34166
Super built-up Area,18-Feb,Şişli,3+1,Kule Evleri,1,1,5842938,58.528890000000004
Built-up Area,30-Aug,Maltepe,1+1,Mavi Apartman,1,1,6342165,82.68367
Built-up Area,20-Oct,Kadıköy,3+1,Denizpark Konakları,1,0,9096855,104.05136
Built-up Area,07-Nov,Beşiktaş,2+1,Bosphorus View,2,1,10941994,137.49644
Built-up Area,08-Jan,Beşiktaş,3+1,Park Bahçesi,3,2,7142527,95.69009
Plot Area,16-Jul,Bahçelievler,3+1,Kule Evleri,3,2,10212754,134.70935
Built-up Area,26-Jun,Maltepe,2+1,Panorama Evleri,3,1,15153828,190.45115
Plot Area,28-May,Ataşehir,4+1,Mavi Apartman,2,1,13305083,174.65764000000001
Plot Area,05-Sep,Ataşehir,4+1,Panorama Evleri,3,0,8589738,80.82561
Built-up Area,22-Mar,Fatih,4+1,Denizpark Konakları,1,2,15756600,151.43189
Super built-up Area,15-Mar,Şişli,1+1,Mavi Apartman,2,2,4221656,59.45792
Built-up Area,15-May,Beşiktaş,4+1,Kule Evleri,1,2,20140294,227.61235
Super built-up Area,31-Oct,Bahçelievler,2+1,Denizpark Konakları,1,2,13146324,231.32847
Super built-up Area,15-Nov,Fatih,1+1,Yakamoz Sitesi,2,2,17955567,176.5157
Plot Area,09-Aug,Kadıköy,2+1,Denizpark Konakları,1,0,10057647,130.99323
Built-up Area,04-Oct,Kadıköy,3+1,Mavi Apartman,3,0,11819262,139.3545
Built-up Area,02-Mar,Kadıköy,3+1,Bosphorus View,4,0,16237683,174.65764000000001
Super built-up Area,11-Oct,Beşiktaş,2+1,Denizpark Konakları,3,0,11439068,121.70293000000001
Built-up Area,10-Jun,Ataşehir,3+1,Park Bahçesi,2,1,14265333,188.59309000000002
Built-up Area,09-Mar,Kadıköy,5+1,Park Bahçesi,1,0,13344049,170.94152
Built-up Area,13-Oct,Bahçelievler,5+1,Mavi Apartman,1,0,7274657,117.05778000000001
Plot Area,18-Sep,Beşiktaş,1+1,Park Bahçesi,1,0,9355346,104.98039
Plot Area,06-May,Bahçelievler,4+1,Yakamoz Sitesi,1,0,6015170,87.32882000000001
Super built-up Area,29-Oct,Maltepe,3+1,Yakamoz Sitesi,1,1,14581490,183.94794000000002
Super built-up Area,25-Oct,Beşiktaş,3+1,Kule Evleri,1,0,21519112,232.2575
Built-up Area,09-Nov,Şişli,5+1,Panorama Evleri,2,2,18181054,192.30921
Built-up Area,26-Dec,Fatih,1+1,Park Bahçesi,2,0,13233962,147.71577
Plot Area,02-Dec,Şişli,4+1,Park Bahçesi,2,1,18008300,196.02533
Plot Area,16-Nov,Bahçelievler,5+1,Panorama Evleri,2,1,7471782,119.84487
Built-up Area,04-Feb,Beşiktaş,3+1,Mavi Apartman,3,0,14931341,133.78032000000002
Built-up Area,13-Apr,Ataşehir,2+1,Denizpark Konakları,3,1,12521055,170.94152
Super built-up Area,18-Nov,Bahçelievler,5+1,Park Bahçesi,4,2,6024898,58.528890000000004
Plot Area,14-Oct,Bahçelievler,3+1,Yakamoz Sitesi,1,1,14361737,156.07704
